Source/Common/Enums.s:100:           ;; Bits 0 and 2 set: HitBackground|Gravity = 1+4 = 5 (%00000101)
Source/Common/MultiSpriteKernel.s:1046:           ;; if x=3: swap 3 and 4
Source/Routines/AnimationSystem.s:1028:           lda 0
Source/Routines/AnimationSystem.s:113:           lda 0
Source/Routines/AnimationSystem.s:1301:           lda 0
Source/Routines/AnimationSystem.s:1307:           lda 0
Source/Routines/AnimationSystem.s:1315:           lda 254
Source/Routines/AnimationSystem.s:1322:           lda 0
Source/Routines/AnimationSystem.s:201:           lda 0
Source/Routines/AnimationSystem.s:395:           cmp 32
Source/Routines/AnimationSystem.s:436:           cmp 32
Source/Routines/AnimationSystem.s:501:           lda 0
Source/Routines/AnimationSystem.s:506:           lda 0
Source/Routines/AnimationSystem.s:512:           lda 254
Source/Routines/AnimationSystem.s:517:           lda 0
Source/Routines/AnimationSystem.s:557:           lda 0
Source/Routines/AnimationSystem.s:564:           lda 0
Source/Routines/AnimationSystem.s:697:           ;; If temp1 < 8, then jmp UpdateSprite_Bank2Dispatch          lda temp1          cmp 8          bcs .skip_5345          jmp
Source/Routines/AnimationSystem.s:713:           ;; If temp1 < 16, then jmp UpdateSprite_Bank3Dispatch          lda temp1          cmp 16          bcs .skip_8905          jmp
Source/Routines/AnimationSystem.s:727:           ;; If temp1 < 24, then jmp UpdateSprite_Bank4Dispatch          lda temp1          cmp 24          bcs .skip_205          jmp
Source/Routines/AnimationSystem.s:764:           ;; Set temp6 = temp1 - 8          lda temp1          sec          sbc 8          sta temp6
Source/Routines/AnimationSystem.s:767:           sbc 8
Source/Routines/AnimationSystem.s:772:           sbc 8
Source/Routines/AnimationSystem.s:793:           ;; Set temp6 = temp1 - 16          lda temp1          sec          sbc 16          sta temp6
Source/Routines/AnimationSystem.s:796:           sbc 16
Source/Routines/AnimationSystem.s:801:           sbc 16
Source/Routines/AnimationSystem.s:822:           ;; Set temp6 = temp1 - 24          lda temp1          sec          sbc 24          sta temp6
Source/Routines/AnimationSystem.s:825:           sbc 24
Source/Routines/AnimationSystem.s:830:           sbc 24
Source/Routines/AnimationSystem.s:915:           lda 0
Source/Routines/AnimationSystem.s:922:           lda 0
Source/Routines/ApplyMomentumAndRecovery.s:109:           lda 3
Source/Routines/ApplyMomentumAndRecovery.s:295:           ;; if temp1 < 4 then jmp MomentumRecoveryLoop          lda temp1          cmp 4          bcs .skip_9998          jmp
Source/Routines/ApplyMomentumAndRecovery.s:83:           lda 2
Source/Routines/ApplyMomentumAndRecovery.s:97:           lda 3
Source/Routines/ArenaSelect.s:512:           ;; Check Player 3 and 4 fire buttons (Quadtari)
Source/Routines/ArenaSelect.s:526:           ;; Check Player 3 and 4 fire buttons (Quadtari)
Source/Routines/ArenaSelect.s:539:           lda 1
Source/Routines/BudgetedHealthBars.s:98:           lda 1
Source/Routines/CharacterControlsDown.s:174:           lda 2
Source/Routines/CharacterControlsDown.s:182:           lda 0
Source/Routines/CharacterControlsDown.s:494:           lda 2
Source/Routines/CharacterControlsDown.s:502:           lda 0
Source/Routines/CharacterControlsDown.s:688:           lda 2
Source/Routines/CharacterControlsDown.s:696:           lda 0
Source/Routines/CharacterControlsDown.s:734:           and 1
Source/Routines/CharacterControlsDown.s:788:           lda 0
Source/Routines/CharacterControlsDown.s:805:           lda 246
Source/Routines/CharacterControlsDown.s:813:           lda 0
Source/Routines/CharacterControlsJump.s:327:           lda 254
Source/Routines/CharacterDownHandlers.s:168:           lda 2
Source/Routines/CharacterDownHandlers.s:176:           lda 0
Source/Routines/CharacterDownHandlers.s:674:           lda 2
Source/Routines/CharacterDownHandlers.s:682:           lda 0
Source/Routines/CharacterDownHandlers.s:725:           and 1
Source/Routines/CharacterDownHandlers.s:787:           lda 0
Source/Routines/CharacterDownHandlers.s:804:           lda 246
Source/Routines/CharacterDownHandlers.s:812:           lda 0
Source/Routines/CharacterSelectFire.s:352:           lda 0
Source/Routines/CharacterSelectMain.s:635:           ;; if temp3 < 2 then jmp ProcessPlayerInput          lda temp3          cmp 2          bcs .skip_8959          jmp
Source/Routines/CharacterSelectMain.s:895:           lda 0
Source/Routines/CharacterSelectRender.s:415:           lda 0
Source/Routines/CharacterSelect.s:138:           ;; On odd frames (qtcontroller=1): handle controllers 2 and 3
Source/Routines/CharacterSelect.s:310:           lda 0
Source/Routines/CharacterSelect.s:366:           cmp 2
Source/Routines/CharacterSelect.s:542:           lda 0
Source/Routines/CharacterSelect.s:546:           lda 0
Source/Routines/CharacterSelect.s:563:           lda 1
Source/Routines/CharacterSelect.s:567:           lda 1
Source/Routines/CharacterSelect.s:584:           lda 2
Source/Routines/CharacterSelect.s:588:           lda 2
Source/Routines/CharacterSelect.s:605:           lda 3
Source/Routines/CharacterSelect.s:609:           lda 3
Source/Routines/CheckPlayerElimination.s:65:           ;; Only clear flag if both players 3 and 4 are eliminated or
Source/Routines/ColdStart.s:44:           lda $d0
Source/Routines/ColdStart.s:49:           lda $D1
Source/Routines/ColdStart.s:60:           ;; Check if both $D0 and $D1 are $00 (flashed to Harmony/Melody)
Source/Routines/ColdStart.s:61:           lda $d0
Source/Routines/ColdStart.s:63:           lda $D1
Source/Routines/ColdStart.s:66:           ;; Both $D0 and $D1 are $00 - check if $80 was already set by CDFJ driver
Source/Routines/Combat.s:286:           lda 0
Source/Routines/Combat.s:323:           lda 0
Source/Routines/Combat.s:708:           ;; Set cachedHitboxLeft_W = temp2 - 24          lda temp2          sec          sbc 24          sta cachedHitboxLeft_W
Source/Routines/Combat.s:711:           sbc 24
Source/Routines/Combat.s:716:           sbc 24
Source/Routines/Combat.s:732:           ;; Set cachedHitboxTop_W = temp2 - 24          lda temp2          sec          sbc 24          sta cachedHitboxTop_W
Source/Routines/Combat.s:735:           sbc 24
Source/Routines/Combat.s:740:           sbc 24
Source/Routines/ConsoleDetection.s:40:           lda $d0
Source/Routines/ConsoleDetection.s:64:           lda $D1
Source/Routines/ConsoleDetection.s:7:           ;; Check if $D0 contains $2C and $D1 contains $A9 (7800 console)
Source/Routines/ConsoleDetection.s:95:           lda $D1
Source/Routines/FallDamage.s:462:           lda 176
Source/Routines/FallDamage.s:536:           sbc 176
Source/Routines/FallDamage.s:539:           lda 176
Source/Routines/FallDamage.s:606:           lda 252
Source/Routines/FallDamage.s:616:           lda 4
Source/Routines/FrootyAttack.s:140:           ;; if temp4 < 6 then jmp FrootyUpdateFrameCounter          lda temp4          cmp 6          bcs .skip_7916          jmp
Source/Routines/FrootyAttack.s:184:           lda 128
Source/Routines/FrootyAttack.s:244:           lda 0
Source/Routines/FrootyAttack.s:252:           lda 0
Source/Routines/GameLoopInit.s:222:           lda 0
Source/Routines/GameLoopInit.s:225:           lda 0
Source/Routines/GameLoopInit.s:228:           lda 1
Source/Routines/GameLoopInit.s:231:           lda 1
Source/Routines/GameLoopInit.s:234:           lda 2
Source/Routines/GameLoopInit.s:237:           lda 0
Source/Routines/GameLoopInit.s:240:           lda 3
Source/Routines/GameLoopInit.s:243:           lda 1
Source/Routines/GameLoopInit.s:291:           lda 0
Source/Routines/GameLoopInit.s:296:           lda 0
Source/Routines/GameLoopInit.s:301:           lda 0
Source/Routines/GameLoopInit.s:306:           lda 0
Source/Routines/GameLoopInit.s:311:           lda 0
Source/Routines/GameLoopInit.s:316:           lda 0
Source/Routines/GameLoopInit.s:357:           lda 0
Source/Routines/GameLoopInit.s:360:           lda 0
Source/Routines/GameLoopInit.s:362:           lda 1
Source/Routines/GameLoopInit.s:365:           lda 0
Source/Routines/GameLoopInit.s:367:           lda 2
Source/Routines/GameLoopInit.s:370:           lda 0
Source/Routines/GameLoopInit.s:372:           lda 3
Source/Routines/GameLoopInit.s:375:           lda 0
Source/Routines/GameLoopMain.s:215:           cmp 2
Source/Routines/HarpyAttack.s:122:           lda 0
Source/Routines/HarpyAttack.s:132:           lda 0
Source/Routines/HealthBarSystem.s:419:                     lda 0          asl          tax          lda playerHealth,x          sta temp1
Source/Routines/HealthBarSystem.s:428:           lda 1
Source/Routines/HealthBarSystem.s:433:           lda 1
Source/Routines/HealthBarSystem.s:500:           ;; Display players 3 and 4 health as 2-digit numbers in score
Source/Routines/HealthBarSystem.s:635:           lda 2
Source/Routines/HealthBarSystem.s:653:           ;; If PlayerHealthMax - 1 < temp1, set temp1 = PlayerHealthMax - 1          lda PlayerHealthMax          sec          sbc 1          sta temp1
Source/Routines/HealthBarSystem.s:665:           lda $ee
Source/Routines/HealthBarSystem.s:698:           lda 3
Source/Routines/HealthBarSystem.s:735:           lda $ee
Source/Routines/InitializeMovementSystem.s:104:           lda 2
Source/Routines/InitializeMovementSystem.s:109:           lda 2
Source/Routines/InitializeMovementSystem.s:112:           lda 0
Source/Routines/InitializeMovementSystem.s:114:           lda 2
Source/Routines/InitializeMovementSystem.s:119:           lda 2
Source/Routines/InitializeMovementSystem.s:124:           lda 2
Source/Routines/InitializeMovementSystem.s:127:           lda 0
Source/Routines/InitializeMovementSystem.s:130:           lda 3
Source/Routines/InitializeMovementSystem.s:135:           lda 3
Source/Routines/InitializeMovementSystem.s:140:           lda 3
Source/Routines/InitializeMovementSystem.s:143:           lda 0
Source/Routines/InitializeMovementSystem.s:145:           lda 3
Source/Routines/InitializeMovementSystem.s:150:           lda 3
Source/Routines/InitializeMovementSystem.s:155:           lda 3
Source/Routines/InitializeMovementSystem.s:158:           lda 0
Source/Routines/InitializeMovementSystem.s:163:           lda 0
Source/Routines/InitializeMovementSystem.s:166:           lda 0
Source/Routines/InitializeMovementSystem.s:168:           lda 0
Source/Routines/InitializeMovementSystem.s:171:           lda 0
Source/Routines/InitializeMovementSystem.s:173:           lda 0
Source/Routines/InitializeMovementSystem.s:176:           lda 0
Source/Routines/InitializeMovementSystem.s:178:           lda 0
Source/Routines/InitializeMovementSystem.s:181:           lda 0
Source/Routines/InitializeMovementSystem.s:184:           lda 1
Source/Routines/InitializeMovementSystem.s:187:           lda 0
Source/Routines/InitializeMovementSystem.s:189:           lda 1
Source/Routines/InitializeMovementSystem.s:192:           lda 0
Source/Routines/InitializeMovementSystem.s:194:           lda 1
Source/Routines/InitializeMovementSystem.s:197:           lda 0
Source/Routines/InitializeMovementSystem.s:199:           lda 1
Source/Routines/InitializeMovementSystem.s:202:           lda 0
Source/Routines/InitializeMovementSystem.s:205:           lda 2
Source/Routines/InitializeMovementSystem.s:208:           lda 0
Source/Routines/InitializeMovementSystem.s:210:           lda 2
Source/Routines/InitializeMovementSystem.s:213:           lda 0
Source/Routines/InitializeMovementSystem.s:215:           lda 2
Source/Routines/InitializeMovementSystem.s:218:           lda 0
Source/Routines/InitializeMovementSystem.s:220:           lda 2
Source/Routines/InitializeMovementSystem.s:223:           lda 0
Source/Routines/InitializeMovementSystem.s:226:           lda 3
Source/Routines/InitializeMovementSystem.s:229:           lda 0
Source/Routines/InitializeMovementSystem.s:231:           lda 3
Source/Routines/InitializeMovementSystem.s:234:           lda 0
Source/Routines/InitializeMovementSystem.s:236:           lda 3
Source/Routines/InitializeMovementSystem.s:239:           lda 0
Source/Routines/InitializeMovementSystem.s:241:           lda 3
Source/Routines/InitializeMovementSystem.s:244:           lda 0
Source/Routines/InputHandleRightPortPlayerFunction.s:131:           cmp 32
Source/Routines/MissileCharacterHandlers.s:174:           lda 0
Source/Routines/MissileCharacterHandlers.s:179:           lda 0
Source/Routines/MissileCharacterHandlers.s:338:           ;; Set velocityCalculation = 7 - velocityCalculation          lda 7          sec          sbc velocityCalculation          sta velocityCalculation
Source/Routines/MissileCharacterHandlers.s:339:           lda 7
Source/Routines/MissileCharacterHandlers.s:344:           lda 7
Source/Routines/MissileCharacterHandlers.s:424:           lda 0
Source/Routines/MissileCharacterHandlers.s:429:           lda 0
Source/Routines/MissileCollision.s:773:           ;; Set temp6 = temp2 - 16          lda temp2          sec          sbc 16          sta temp6
Source/Routines/MissileCollision.s:776:           sbc 16
Source/Routines/MissileCollision.s:781:           sbc 16
Source/Routines/MissileSystem.s:1277:           and 4
Source/Routines/MissileSystem.s:1348:           cmp 50
Source/Routines/MissileSystem.s:1363:           ;; Set velocityCalculation = 100 - characterWeight          lda 100          sec          sbc characterWeight          sta velocityCalculation
Source/Routines/MissileSystem.s:1364:           lda 100
Source/Routines/MissileSystem.s:1369:           lda 100
Source/Routines/MissileSystem.s:1427:           lda 0
Source/Routines/MissileSystem.s:219:           lda 0
Source/Routines/MissileSystem.s:225:           lda 0
Source/Routines/MissileSystem.s:693:           ;; if temp3 < 20 then jmp FrootyRicochetTop          lda temp3          cmp 20          bcs .skip_6296          jmp
Source/Routines/MissileSystem.s:736:           lda 20
Source/Routines/MissileSystem.s:854:           lda 0
Source/Routines/PlayerCollisionResolution.s:109:           lda 3
Source/Routines/PlayerCollisionResolution.s:166:           lda 2
Source/Routines/PlayerCollisionResolution.s:178:           lda 2
Source/Routines/PlayerCollisionResolution.s:193:           lda 3
Source/Routines/PlayerCollisionResolution.s:205:           lda 3
